ID,AdminCode,Type,Kind,R_linkID,L_linkID,Marker,UpdateDate,Version,Remark,HistType,HistRemark,vertex_index,vertex_part,vertex_part_index,distance,angle,Longitude,Latitude
B222CC040209,284,211,505,,,,20220413,2022,,,,18,0,18,0.00083584560512,83.16383281050848,127.439704551286,36.7300765634655
B222CC043209,284,212,503,,,,20220413,2022,,,,0,0,0,0.00000000000000,350.84974322574482,127.439597253052,36.7296531134224
B222CC043209,284,212,503,,,,20220413,2022,,,,1,0,1,0.00012771047915,350.55583402767581,127.439576944007,36.7297791987473
B222CC043209,284,212,503,,,,20220413,2022,,,,2,0,2,0.00025778554428,350.26192482960681,127.439554942541,36.7299073995977
B222CC040113,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,170.63421609092651,127.440181692518,36.7292393038896
B222CC040113,284,211,505,,,,20220413,2022,,,,1,0,1,0.00013233202470,170.63421609092651,127.440203227804,36.7291087359142
B222CC040901,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,170.49256424477741,127.440203288883,36.7291066280802
B222CC040901,284,211,505,,,,20220413,2022,,,,1,0,1,0.00006196460718,181.85089518282868,127.440213523925,36.7290455146081
B222CC040901,284,211,505,,,,20220413,2022,,,,2,0,2,0.00007870042348,202.08798655520823,127.440209699663,36.729029221586
B222CC040901,284,211,505,,,,20220413,2022,,,,3,0,3,0.00009906681403,220.95854489853625,127.44019922033,36.7290117580971
B222CC040901,284,211,505,,,,20220413,2022,,,,4,0,4,0.00012570462918,240.70182612857832,127.440178533396,36.7289949764416
B222CC040901,284,211,505,,,,20220413,2022,,,,5,0,5,0.00014780879515,250.45330944962055,127.440157703112,36.7289875809423
B222CC040108,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,263.63158510296824,127.440155890698,36.7289870910666
B222CC040108,284,211,505,,,,20220413,2022,,,,1,0,1,0.00022900310265,266.14300507794263,127.439928300724,36.7289616897936
B222CC040108,284,211,505,,,,20220413,2022,,,,2,0,2,0.00028527073748,273.62088180303203,127.439872048605,36.7289603684858
B222CC040108,284,211,505,,,,20220413,2022,,,,3,0,3,0.00033095107129,285.69028621588200,127.439826880375,36.7289671893289
B222CC040108,284,211,505,,,,20220413,2022,,,,4,0,4,0.00038462624653,298.90616705197732,127.439777396753,36.7289879834525
B222CC040108,284,211,505,,,,20220413,2022,,,,5,0,5,0.00041667168146,308.45041193086803,127.439751152799,36.7290063727086
B222CC040108,284,211,505,,,,20220413,2022,,,,6,0,6,0.00044557802239,316.51782824005647,127.439729631319,36.7290256704402
B222CC040108,284,211,505,,,,20220413,2022,,,,7,0,7,0.00047047613094,325.67056569246131,127.439714014473,36.7290450619314
B222CC040108,284,211,505,,,,20220413,2022,,,,8,0,8,0.00049590891266,337.91234939043079,127.439701370112,36.7290671287962
B222CC040108,284,211,505,,,,20220413,2022,,,,9,0,9,0.00052056874089,348.30847730822256,127.439695253096,36.7290910178993
B222CC040108,284,211,505,,,,20220413,2022,,,,10,0,10,0.00054528886201,350.63054818149237,127.439691377262,36.7291154322864
B222CC040108,284,211,505,,,,20220413,2022,,,,11,0,11,0.00063847838169,350.28164198619345,127.439675646387,36.7292072844837
B222CC040915,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,354.80795397824267,127.439675623497,36.7292090590068
B222CC040915,284,211,505,,,,20220413,2022,,,,1,0,1,0.00001252285573,3.43850868859375,127.43967449025,36.7292215304809
B222CC040915,284,211,505,,,,20220413,2022,,,,2,0,2,0.00002475715539,21.74866572377099,127.439677048327,36.729233494357
B222CC040915,284,211,505,,,,20220413,2022,,,,3,0,3,0.00003825562029,34.84887695088463,127.43968408684,36.7292450125113
B222CC040915,284,211,505,,,,20220413,2022,,,,4,0,4,0.00005281726023,51.05651684593124,127.439693105752,36.7292564449471
B222CC040915,284,211,505,,,,20220413,2022,,,,5,0,5,0.00006408735509,66.51571496930596,127.439703221718,36.7292614130727
B222CC040915,284,211,505,,,,20220413,2022,,,,6,0,6,0.00007555357714,74.29265995265598,127.439713939775,36.7292654870749
